Name,Alias,EditorTracking,CatalogPath,Domain
,,,,
All species identified at UGS sites,,,,
ugsgwp.sde.wetlands_species,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.wetlands_species,
objectid,OID,,,
surveyeventid,Integer,Key,,
family,String,,,
scientificname,String,,,
commonname,String,,,
cover,Double,,,
nativity,String,,,
noxious,String,,,No/Yes
growthform,String,,,
wetlandindicator,String,,,
cvalue,Integer,,,
,,,,
UGS site pictures,,,,
ugsgwp.sde.wetlands_sites__ATTACH,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.wetlands_sites__ATTACH,
attachmentid,OID,,,
rel_objectid,Integer,,,
content_type,String,,,
att_name,String,,,
data_size,Integer,,,
data,Blob,,,
,,,,
Descriptions of UGS projects,,,,
ugsgwp.sde.wetlands_luProjects,-,Disabled,C:\Users\marthajensen\AppData\Roaming\ESRI\Desktop10.7\ArcCatalog\sde@ugsgwp.nrwugspgressp.sde\ugsgwp.sde.wetlands_luProjects,
objectid,OID,,,
projectcode,String,Key,,
organization,String,,,
projectgoal,String,,,
reportlink,String,,,
methodname,String,,,
assessmentareadescription,String,,,
vegetationmethod,String,,,
vegetationcalculation,String,,,
